tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",DGCR8,54487,407,7,0.0171990171990172,12,0.0294840294840294,74,0.1818181818181818,136,0.3341523341523341,2,0.0049140049140049,224,0.5503685503685504,228,0.5601965601965602,4,221,3
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",DICER1,23405,407,17,0.0417690417690417,1,0.0024570024570024,69,0.1695331695331695,121,0.2972972972972973,4,0.0098280098280098,195,0.4791154791154791,207,0.5085995085995086,12,190,5
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",DROSHA,29102,407,11,0.027027027027027,21,0.0515970515970515,171,0.4201474201474201,39,0.0958230958230958,0,0.0,231,0.5675675675675675,233,0.5724815724815725,2,222,9
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",LIN28A,79727,407,2,0.0049140049140049,3,0.0073710073710073,67,0.1646191646191646,82,0.2014742014742014,4,0.0098280098280098,156,0.3832923832923833,156,0.3832923832923833,0,154,2
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",LIN28B,389421,407,0,0.0,6,0.0147420147420147,26,0.0638820638820638,175,0.42997542997543,6,0.0147420147420147,213,0.5233415233415234,213,0.5233415233415234,0,213,0
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",PRKRA,8575,407,3,0.0073710073710073,3,0.0073710073710073,49,0.1203931203931203,111,0.2727272727272727,1,0.0024570024570024,164,0.4029484029484029,165,0.4054054054054054,1,162,2
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",SMAD2,4087,407,4,0.0098280098280098,3,0.0073710073710073,54,0.1326781326781326,172,0.4226044226044226,1,0.0024570024570024,230,0.5651105651105651,233,0.5724815724815725,3,229,1
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",SMAD4,4089,407,8,0.0196560196560196,0,0.0,48,0.1179361179361179,182,0.4471744471744471,4,0.0098280098280098,234,0.5749385749385749,236,0.5798525798525799,2,228,6
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",TARBP2,6895,407,3,0.0073710073710073,3,0.0073710073710073,85,0.2088452088452088,69,0.1695331695331695,0,0.0,157,0.3857493857493858,159,0.3906633906633907,2,156,1
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",TP53,7157,407,201,0.4938574938574938,0,0.0,42,0.1031941031941031,202,0.4963144963144963,7,0.0171990171990172,251,0.6167076167076168,307,0.7542997542997543,56,106,145
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",XPO5,57510,407,9,0.0221130221130221,11,0.027027027027027,99,0.2432432432432432,83,0.2039312039312039,0,0.0,193,0.4742014742014742,196,0.4815724815724815,3,187,6
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",AGO1,26523,1052,10,0.0095057034220532,6,0.0057034220532319,123,0.1169201520912547,326,0.3098859315589353,0,0.0,455,0.432509505703422,460,0.4372623574144487,5,450,5
BRCA,brca_tcga_pan_can_atlas_2018,"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",AGO2,27161,1052,8,0.0076045627376425,116,0.1102661596958174,501,0.4762357414448669,62,0.05893536121673,3,0.0028517110266159,682,0.6482889733840305,684,0.6501901140684411,2,676,6
