gene,entrez_id,mut_n,amp_n,gain_n,shallow_del_n,deep_del_n,any_cna_n,any_alter_n,N,mut_freq,amp_freq,deep_del_freq,any_cna_freq,any_alter_freq
TP53,7157,344,0,53,633,9,695,749,1052,0.3269961977186312,0.0,0.0085551330798479,0.6606463878326996,0.7119771863117871
AGO2,27161,8,116,501,62,3,682,684,1052,0.0076045627376425,0.1102661596958174,0.0028517110266159,0.6482889733840305,0.6501901140684411
DGCR8,54487,5,8,130,449,2,589,593,1052,0.0047528517110266,0.0076045627376425,0.0019011406844106,0.5598859315589354,0.5636882129277566
LIN28B,389421,2,21,160,330,2,513,514,1052,0.0019011406844106,0.0199619771863117,0.0019011406844106,0.4876425855513308,0.4885931558935361
LIN28A,79727,2,1,62,435,1,499,500,1052,0.0019011406844106,0.0009505703422053,0.0009505703422053,0.4743346007604562,0.4752851711026616
SMAD4,4089,9,2,148,344,8,502,503,1052,0.0085551330798479,0.0019011406844106,0.0076045627376425,0.4771863117870722,0.4781368821292776
SMAD2,4087,6,4,154,337,3,498,501,1052,0.0057034220532319,0.0038022813688212,0.0028517110266159,0.4733840304182509,0.4762357414448669
DICER1,23405,11,7,137,318,3,465,471,1052,0.0104562737642585,0.0066539923954372,0.0028517110266159,0.4420152091254752,0.4477186311787072
AGO4,192670,8,7,120,329,0,456,461,1052,0.0076045627376425,0.0066539923954372,0.0,0.4334600760456273,0.438212927756654
AGO1,26523,10,6,123,326,0,455,460,1052,0.0095057034220532,0.0057034220532319,0.0,0.432509505703422,0.4372623574144487
AGO3,192669,8,9,123,322,0,454,456,1052,0.0076045627376425,0.0085551330798479,0.0,0.4315589353612167,0.4334600760456273
DROSHA,29102,9,16,334,103,0,453,456,1052,0.0085551330798479,0.0152091254752851,0.0,0.4306083650190114,0.4334600760456273
XPO5,57510,12,13,241,149,3,406,411,1052,0.0114068441064638,0.0123574144486692,0.0028517110266159,0.3859315589353612,0.3906844106463878
TARBP2,6895,7,3,198,168,0,369,373,1052,0.0066539923954372,0.0028517110266159,0.0,0.3507604562737642,0.3545627376425855
PRKRA,8575,3,4,96,224,0,324,324,1052,0.0028517110266159,0.0038022813688212,0.0,0.3079847908745247,0.3079847908745247
